sex,height,weight
M,1.66,70.2
F,1.55,81.2
F,1.92,97.8
M,1.29,62.5
F,1.56,93.9
F,1.41,90.6
F,1.63,93.6
F,1.65,71.5
F,1.49,70.2
M,1.95,91.4
M,1.37,64.5
F,1.27,74.2
M,1.96,247.8
M,1.25,183.2
M,1.42,62.2
M,1.64,85.3
F,1.25,77.2
M,1.53,66.8
M,1.54,142.4
M,1.99,85.8
M,1.4,86.7
M,1.88,84.9
M,1.95,81.3
F,1.33,65.3
M,1.27,64.4
M,1.21,81.4
M,1.49,63.4
F,1.28,78.0
M,1.75,85.6
F,1.76,94.3
M,1.31,93.8
F,1.45,70.5
F,1.36,66.4
F,1.43,107.0
F,1.51,86.7
M,1.26,61.1
F,1.55,70.5
M,1.81,77.2
F,1.6,84.8
F,1.77,69.4
M,1.45,77.9
F,1.79,67.2
F,1.38,62.9
F,1.64,93.5
F,1.92,69.4
M,1.39,65.5
M,1.23,59.1
F,1.89,92.5
F,1.59,93.6
F,1.32,90.9
M,1.49,76.7
M,1.98,82.2
F,1.24,71.0
F,1.86,69.5
F,1.56,68.3
M,1.42,62.3
M,1.81,212.2
M,1.71,87.5
F,1.32,61.3
M,1.92,52.6
M,1.21,84.8
M,1.88,94.8
F,1.53,82.6
F,1.86,115.1
M,1.6,81.8
F,1.3,77.3
F,1.65,90.2
F,1.2,79.8
F,1.66,69.6
F,1.65,74.9
F,1.33,75.2
M,1.93,244.2
M,1.43,67.0
M,1.35,72.9
F,1.71,57.0
F,1.28,91.3
M,1.31,206.1
F,1.8,66.2
F,1.7,91.1
M,1.28,83.1
F,1.92,92.0
M,1.47,74.0
F,1.84,79.5
F,1.9,87.6
F,1.51,55.5
F,1.33,59.2
F,1.46,69.9
M,1.69,70.0
F,1.46,65.5
M,1.39,87.3
M,1.42,87.2
M,1.39,71.5
M,1.65,65.4
M,1.47,65.6
M,1.29,98.5
F,1.35,90.9
M,1.26,60.8
F,1.97,84.9
F,1.31,88.6
F,1.57,63.2
M,1.83,90.9
M,1.56,79.2
F,1.21,65.9
F,1.64,82.5
M,1.31,65.9
M,1.93,66.8
F,1.37,69.4
F,1.28,122.1
F,1.96,76.6
M,1.25,78.3
M,1.87,70.0
M,1.65,74.3
M,1.85,68.2
M,1.29,119.7
M,1.77,85.2
F,1.89,86.5
F,1.25,77.6
F,1.77,68.3
F,1.62,61.6
M,1.94,227.3
F,1.67,61.5
F,1.79,93.6
F,1.44,60.1
M,1.27,143.4
F,1.6,59.4
F,1.63,76.9
M,1.27,89.9
M,1.47,86.8
M,1.29,71.7
M,1.58,69.6
M,1.41,91.3
F,1.78,68.5
F,1.87,75.1
M,1.46,85.5
F,1.74,86.6
F,1.92,82.6
F,1.87,204.5
F,1.63,176.9
M,1.36,64.8
F,1.44,72.5
F,1.82,86.2
F,1.99,64.3
M,1.68,89.7
M,1.67,61.4
M,1.44,77.7
F,1.38,60.8
F,1.99,221.9
M,1.37,70.8
M,1.62,70.9
M,1.84,72.1
M,1.21,65.8
F,1.6,82.4
