sex,height,weight
F,1.62,70.5
M,1.89,94.1
M,1.91,88.2
F,1.23,75.9
M,1.89,144.0
M,1.45,74.9
M,1.56,88.1
M,1.85,68.5
M,1.3,68.7
M,1.63,60.6
M,1.36,64.5
F,1.89,92.9
F,1.92,83.4
F,1.97,76.0
F,1.54,65.6
M,1.37,64.2
M,1.22,62.7
F,1.99,66.9
F,1.9,78.3
F,1.77,76.4
F,1.94,112.5
M,1.23,92.0
F,1.67,75.0
M,1.71,62.8
F,1.77,87.0
F,1.35,76.1
F,1.61,147.2
M,1.38,60.1
M,1.67,68.7
F,1.72,142.4
F,1.36,79.1
F,1.75,64.2
M,1.34,87.1
F,1.59,68.4
F,1.4,62.5
F,1.57,66.0
M,1.27,69.3
M,1.28,74.1
F,1.63,60.8
F,1.24,84.5
F,1.76,129.0
M,1.4,135.2
F,1.51,76.9
F,1.56,89.5
F,1.25,70.9
F,1.98,119.5
F,1.84,88.5
F,1.48,99.2
F,1.81,112.6
M,1.82,67.7
M,1.23,64.8
F,1.55,41.0
F,1.54,61.5
M,1.3,67.8
M,1.32,64.0
F,1.42,90.0
F,1.84,74.5
F,1.9,68.1
M,1.35,64.0
M,1.58,81.3
F,1.51,74.0
F,1.62,61.2
M,1.4,80.9
M,1.5,92.8
F,1.52,71.3
M,1.25,93.2
M,1.56,68.2
F,1.65,77.3
M,1.22,83.5
M,1.26,83.2
F,1.79,59.9
F,1.3,87.0
M,1.31,86.3
F,1.51,62.7
F,1.42,131.0
M,1.21,63.4
M,2.0,71.9
F,1.99,65.4
F,1.96,58.9
F,1.28,80.4
F,1.32,124.2
M,1.45,60.5
F,1.92,70.1
F,1.34,81.5
F,1.95,78.9
F,1.38,59.8
M,1.73,72.6
M,1.32,67.9
M,1.57,81.9
M,1.49,94.4
M,1.28,99.4
F,1.76,91.4
M,1.64,81.4
M,1.78,127.4
M,1.59,69.8
M,1.94,66.6
M,1.75,68.4
M,1.99,73.0
M,1.56,89.6
F,1.84,88.7
F,1.55,43.5
M,1.99,64.6
F,1.66,74.0
F,1.58,72.4
M,1.75,89.9
M,1.93,90.9
F,1.22,79.9
