Categoria: Tutte le categorie

Settimana,Romolo,GiulioCesare,Dante Alighieri,Leonardo da Vinci,Benito Mussolini
2022-04-03,3,20,62,36,32
2022-04-10,2,17,50,34,32
2022-04-17,2,19,60,40,36
2022-04-24,1,18,58,31,53
2022-05-01,3,21,54,31,33
2022-05-08,2,21,61,33,34
2022-05-15,3,21,57,37,31
2022-05-22,1,22,53,29,34
2022-05-29,2,27,48,33,34
2022-06-05,1,15,40,22,35
2022-06-12,1,12,37,22,30
2022-06-19,1,14,39,22,30
2022-06-26,1,17,43,23,38
2022-07-03,1,14,37,21,33
2022-07-10,1,16,33,23,23
2022-07-17,1,14,34,23,26
2022-07-24,1,10,32,23,35
2022-07-31,1,13,31,23,27
2022-08-07,1,14,35,24,27
2022-08-14,2,15,34,30,35
2022-08-21,1,12,35,24,31
2022-08-28,1,12,34,23,30
2022-09-04,1,17,36,23,32
2022-09-11,2,15,45,27,35
2022-09-18,1,22,53,27,45
2022-09-25,2,20,76,26,80
2022-10-02,2,20,96,29,35
2022-10-09,2,21,90,27,44
2022-10-16,2,20,84,29,57
2022-10-23,1,20,77,29,88
2022-10-30,2,22,66,26,79
2022-11-06,2,20,76,27,38
2022-11-13,1,22,74,24,40
2022-11-20,2,17,72,26,26
2022-11-27,2,14,76,28,29
2022-12-04,1,17,68,26,27
2022-12-11,1,18,80,26,36
2022-12-18,1,12,58,22,32
2022-12-25,2,14,50,34,31
2023-01-01,1,15,56,32,29
2023-01-08,2,18,87,27,24
2023-01-15,2,15,100,24,30
2023-01-22,2,15,81,25,35
2023-01-29,2,14,76,27,38
2023-02-05,2,16,72,25,34
2023-02-12,2,18,74,27,32
2023-02-19,2,16,69,27,30
2023-02-26,2,19,71,29,30
2023-03-05,2,15,71,37,33
2023-03-12,2,21,74,50,52
2023-03-19,2,18,96,35,39
2023-03-26,2,22,84,37,33
