Categoria: Tutte le categorie;;;;
;;;;
Settimana,Umberto II di Savoia: (Italia);;;;
2022-01-02,58;;;;58
2022-01-09,78;;;;78
2022-01-16,75;;;;75
2022-01-23,100;;;;100
2022-01-30,35;;;;35
2022-02-06,28;;;;28
2022-02-13,56;;;;56
2022-02-20,30;;;;30
2022-02-27,37;;;;37
2022-03-06,45;;;;45
2022-03-13,50;;;;50
2022-03-20,23;;;;23
2022-03-27,46;;;;46
2022-04-03,56;;;;56
2022-04-10,26;;;;26
2022-04-17,82;;;;82
2022-04-24,66;;;;66
2022-05-01,40;;;;40
2022-05-08,28;;;;28
2022-05-15,47;;;;47
2022-05-22,18;;;;18
2022-05-29,93;;;;93
2022-06-05,25;;;;25
2022-06-12,48;;;;48
2022-06-19,43;;;;43
2022-06-26,42;;;;42
2022-07-03,19;;;;19
2022-07-10,16;;;;16
2022-07-17,21;;;;21
2022-07-24,34;;;;34
2022-07-31,35;;;;35
2022-08-07,14;;;;14
2022-08-14,39;;;;39
2022-08-21,31;;;;31
2022-08-28,27;;;;27
2022-09-04,55;;;;55
2022-09-11,61;;;;61
2022-09-18,26;;;;26
2022-09-25,26;;;;26
2022-10-02,28;;;;28
2022-10-09,25;;;;25
2022-10-16,21;;;;21
2022-10-23,47;;;;47
2022-10-30,48;;;;48
2022-11-06,31;;;;31
2022-11-13,26;;;;26
2022-11-20,22;;;;22
2022-11-27,31;;;;31
2022-12-04,56;;;;56
2022-12-11,29;;;;29
2022-12-18,61;;;;61
2022-12-25,31;;;;31
2023-01-01,42;;;;42
2023-01-08,49;;;;49
2023-01-15,27;;;;27
2023-01-22,23;;;;23
2023-01-29,6;;;;6
2023-02-05,36;;;;36
2023-02-12,26;;;;26
2023-02-19,28;;;;28
2023-02-26,41;;;;41
2023-03-05,32;;;;32
2023-03-12,26;;;;26
2023-03-19,37;;;;37
2023-03-26,25;;;;25
;;;;
;;;TOTALE;2533
