sex,height,weight
F,1.68,74.8
M,1.92,68.4
M,1.7,113.9
F,1.64,54.8
F,1.66,70.9
F,1.66,67.9
M,1.73,61.2
M,1.78,65.1
F,1.74,66.7
F,1.41,57.9
M,1.85,86.7
M,1.91,60.7
M,1.78,91.8
M,1.85,89.8
M,1.72,118.1
M,1.62,56.5
M,1.63,71.3
F,1.72,107.0
M,1.68,60.6
F,1.61,58.8
M,1.87,90.3
F,1.53,45.0
F,1.65,73.0
F,1.61,51.7
F,1.75,71.2
M,1.64,102.9
M,1.78,66.5
M,1.81,130.2
F,1.59,54.1
F,1.72,80.6
F,1.55,68.4
F,1.52,62.7
F,1.55,65.9
F,1.77,86.6
M,1.9,87.8
F,1.55,57.1
F,1.61,73.4
M,1.72,60.8
F,1.6,57.9
F,1.8,63.2
F,1.75,57.6
M,1.85,89.5
M,1.79,60.7
F,1.5,49.6
F,1.55,44.8
M,1.83,71.8
F,1.59,74.1
M,1.77,74.7
F,1.6,69.2
F,1.45,39.9
M,1.99,101.9
M,1.71,91.8
F,1.69,64.0
F,1.61,99.3
F,1.62,49.3
M,2.0,139.2
F,1.65,54.8
F,1.53,68.2
M,1.74,66.2
F,1.39,69.5
M,1.69,69.8
M,1.79,70.3
F,1.62,70.6
M,1.93,98.7
F,1.59,50.5
M,1.78,89.9
M,1.77,67.3
M,1.88,67.5
M,1.99,79.0
M,1.78,60.5
M,1.91,107.5
M,1.66,51.2
M,1.69,76.3
F,1.56,69.8
M,1.67,68.1
F,1.69,73.1
F,1.66,53.4
M,1.71,71.2
F,1.6,53.6
M,1.59,89.4
F,1.72,56.4
F,1.67,77.7
M,1.66,68.1
F,1.67,67.5
F,1.62,90.7
F,1.58,48.9
M,1.87,96.5
M,1.8,63.1
M,1.93,90.6
F,1.73,67.6
F,1.57,68.7
M,1.87,63.7
M,1.73,65.6
M,1.78,58.9
M,1.7,56.7
F,1.67,66.0
M,1.82,73.7
M,1.81,72.0
M,1.84,79.2
M,1.64,71.3
F,1.5,52.8
M,1.59,91.7
F,1.65,52.9
F,1.75,82.0
M,1.76,70.9
M,2.03,117.4
M,1.78,86.7
M,1.75,73.8
M,1.82,96.5
M,1.85,75.4
M,1.77,87.4
F,1.57,97.5
F,1.59,55.1
F,1.49,46.9
F,1.61,73.3
M,1.59,67.6
M,1.74,58.5
M,1.72,75.2
M,1.91,87.2
M,1.71,86.1
F,1.56,45.5
M,1.72,56.7
F,1.69,68.2
M,2.04,108.5
F,1.79,66.7
M,1.7,67.2
F,1.54,65.6
M,1.82,55.2
M,1.55,85.6
F,1.62,66.9
M,1.64,57.9
F,1.66,71.7
M,1.85,64.2
F,1.68,72.0
F,1.6,59.3
M,1.56,58.7
F,1.44,57.2
F,1.71,66.5
F,1.78,76.0
M,1.86,70.9
F,1.69,80.7
F,1.61,55.5
M,1.67,51.7
M,1.82,62.6
M,1.81,92.9
M,1.67,51.7
M,1.76,60.2
F,1.65,55.0
M,1.84,86.3
F,1.55,62.9
F,1.59,48.4
M,1.89,73.4
F,1.65,80.2
F,1.54,80.1
F,1.71,66.6
M,1.67,67.9
F,1.68,71.5
M,1.69,64.1
M,1.55,94.3
F,1.54,48.4
M,1.8,61.1
F,1.53,65.8
F,1.56,51.7
F,1.74,66.2
F,1.75,113.4
M,1.71,62.5
M,1.81,92.2
M,1.67,49.7
M,1.81,112.9
M,1.8,80.1
M,1.8,120.5
M,1.75,69.8
F,1.65,75.5
M,1.61,84.7
F,1.53,87.4
