sex,height,weight
F,1.62,68.5
F,1.62,75.6
M,1.73,87.5
F,1.6,73.3
M,1.9,87.5
F,1.72,60.0
M,1.78,85.8
M,1.82,84.6
M,1.71,60.7
M,1.71,56.2
F,1.65,70.4
M,1.75,60.5
M,1.6,48.4
M,1.75,76.2
F,1.52,68.6
M,1.7,69.6
F,1.84,56.8
M,1.78,126.5
F,1.65,75.5
M,1.74,81.0
M,1.76,83.1
M,1.82,63.6
F,1.6,62.1
M,1.59,74.8
M,1.78,93.5
M,1.94,97.8
M,1.66,60.3
M,1.56,68.8
F,1.67,81.2
F,1.71,69.7
F,1.66,64.6
F,1.51,64.7
M,1.94,73.0
F,1.72,67.9
M,1.83,92.3
M,1.83,63.8
M,1.82,79.4
M,1.72,73.5
F,1.63,68.1
M,1.71,137.3
F,1.63,53.6
F,1.72,195.7
F,1.73,63.4
M,1.69,50.2
F,1.64,138.6
M,1.76,63.7
M,1.6,190.2
M,1.62,51.5
M,1.84,82.9
M,1.85,66.3
F,1.91,92.8
M,1.85,92.9
M,1.85,92.1
F,1.75,90.7
F,1.79,73.2
M,1.74,60.3
M,1.88,72.7
F,1.62,49.9
M,1.83,73.7
M,1.83,77.2
M,1.9,99.7
M,1.85,66.7
F,1.97,113.9
M,1.71,56.5
M,1.79,84.3
M,1.72,73.0
F,1.77,83.4
M,1.62,67.7
F,1.66,52.4
M,1.83,97.3
F,1.69,41.2
F,1.4,45.9
F,1.59,54.6
F,1.5,42.3
F,1.53,36.7
M,1.84,87.2
F,1.79,93.4
F,1.59,75.1
M,1.75,63.0
F,1.76,59.0
F,1.84,63.7
F,1.61,70.2
M,1.67,52.2
F,1.61,54.1
M,1.85,98.3
F,1.63,41.8
F,1.65,78.0
M,1.8,62.0
M,1.77,70.3
M,1.74,67.4
F,1.57,64.7
F,1.8,260.1
M,1.68,76.5
M,1.78,78.3
M,1.81,67.3
F,1.77,70.4
F,1.61,74.3
M,1.61,56.5
M,1.67,58.6
M,1.74,83.7
F,1.76,53.0
M,1.85,75.3
F,1.55,61.2
M,1.75,155.2
F,1.63,62.2
M,1.74,89.1
M,1.83,65.5
F,1.63,99.9
F,1.7,61.8
F,1.64,50.1
M,1.88,102.6
