sex,height,weight
M,1.75,77.6
F,1.78,99.6
F,1.79,93.0
F,1.62,41.6
F,1.54,69.5
F,1.6,97.5
M,1.79,70.6
M,1.78,88.0
F,1.74,50.0
F,1.66,64.2
F,1.52,49.7
M,1.69,72.7
F,1.61,102.7
F,1.68,64.7
M,1.76,63.3
M,1.67,103.4
F,1.71,36.7
F,1.71,110.1
M,1.75,59.0
M,1.65,65.6
M,1.87,68.7
M,1.84,69.2
M,1.7,65.5
F,1.68,68.7
M,1.9,103.8
F,1.67,85.2
M,1.58,50.7
F,1.64,72.2
M,1.65,71.9
F,1.61,56.2
F,1.68,57.8
M,1.84,105.6
F,1.71,82.5
F,1.46,49.0
M,1.58,74.4
F,1.5,60.3
M,1.79,62.4
F,1.83,80.0
M,1.87,73.3
M,1.73,60.7
F,1.57,66.5
F,1.49,49.8
F,1.6,72.5
M,1.96,73.8
M,1.8,71.6
F,1.57,63.5
F,1.72,70.9
M,1.61,46.9
F,1.53,35.3
F,1.64,53.2
M,1.67,53.5
M,1.83,42.5
F,1.7,85.5
F,1.74,67.0
M,1.81,63.4
F,1.72,59.8
F,1.59,66.1
M,1.64,79.3
F,1.62,49.1
F,1.59,68.4
M,1.79,59.9
M,1.76,83.4
M,1.76,62.7
M,1.86,97.4
M,1.62,38.2
F,1.52,45.0
F,1.68,62.1
M,1.91,94.8
F,1.51,60.5
F,1.62,54.7
M,1.71,85.7
M,1.75,81.9
F,1.58,70.9
F,1.74,65.4
F,1.58,46.5
F,1.39,51.8
F,1.65,76.3
M,1.74,68.8
M,1.77,68.4
M,1.68,123.1
M,1.64,79.1
F,1.56,92.4
F,1.55,58.0
M,1.88,90.9
F,1.62,67.1
M,1.7,57.6
M,1.92,73.5
M,1.7,101.2
M,1.89,74.9
F,1.62,58.8
F,1.57,57.9
M,1.72,77.4
F,1.64,66.0
M,1.69,56.5
F,1.51,60.9
M,1.61,76.6
F,1.49,95.7
M,1.75,91.5
M,1.94,96.3
F,1.69,80.7
M,1.49,63.8
M,1.85,73.3
F,1.73,62.7
M,1.76,62.1
F,1.67,59.7
F,1.54,58.9
M,1.73,64.9
F,1.48,48.1
F,1.51,57.9
M,1.9,82.9
M,1.84,68.4
F,1.73,61.4
F,1.78,64.4
M,1.62,77.0
F,1.53,44.7
M,1.75,57.6
M,1.8,84.0
M,1.73,77.7
M,1.84,64.5
M,1.85,83.0
M,1.97,161.5
M,1.86,73.8
M,1.72,75.7
M,1.79,76.4
M,1.83,81.5
M,1.76,60.4
F,1.45,43.4
M,1.77,81.2
M,1.74,59.1
F,1.53,103.9
F,1.68,54.3
F,1.9,68.5
M,1.76,59.4
M,1.75,57.7
F,1.48,51.7
M,1.78,92.1
F,1.52,76.2
F,1.63,64.4
M,1.68,39.8
M,1.68,62.4
F,1.55,43.8
M,1.74,66.5
F,1.62,73.2
M,1.65,65.7
M,1.87,78.1
M,1.69,73.0
M,1.71,120.5
F,1.68,68.3
M,1.82,88.4
F,1.8,126.8
M,1.61,71.9
M,1.72,56.2
M,1.76,84.2
M,1.76,110.0
F,1.63,76.2
M,1.74,61.6
M,1.55,66.8
M,1.91,80.4
F,1.79,115.4
F,1.5,65.8
F,1.62,54.5
F,1.7,80.5
F,1.56,70.2
M,1.65,67.3
M,1.86,93.8
F,1.62,62.2
F,1.76,73.6
F,1.62,66.4
M,1.85,92.8
M,1.7,102.4
M,1.78,71.7
M,1.77,75.8
F,1.48,42.3
F,1.62,62.4
F,1.43,53.1
F,1.63,70.1
M,1.72,44.1
M,1.95,70.8
F,1.5,46.7
F,1.66,76.7
M,1.83,67.9
F,1.61,76.8
F,1.52,54.1
M,1.76,74.2
F,1.64,53.3
F,1.69,84.5
F,1.71,59.2
F,1.71,79.2
F,1.66,76.5
M,1.85,100.3
F,1.8,60.5
F,1.6,71.8
M,1.58,109.0
F,1.7,78.2
M,1.79,59.9
M,1.78,76.7
