DAY,TRAFFICO
lunedì,100,-0,091130875
martedì,90,-0,559458483
mercoledì,80,0,007842876
giovedì,80,-0,023386802
venerdì,90,-0,534256028
sabato,60,0
domenica,40,0,997763984
lunedì,105,0,059307187
martedì,95,-0,439640721
mercoledì,80,0,138966894
giovedì,85,0,081598675
venerdì,95,-0,508411162
sabato,60,-0,139555206
domenica,35,0,990327191
lunedì,100,-0,093681332
martedì,90,-0,556577324
mercoledì,85,0,046904093
giovedì,80,-0,024665033
venerdì,90,-0,465895077
sabato,65,0,092442717
domenica,40,0,994600557
lunedì,105,
martedì,90,
mercoledì,80,
giovedì,85,
venerdì,90,
sabato,55,
domenica,35,





