sex,height,weight
F,1.62,42.7
F,1.63,69.6
M,1.78,61.1
M,1.69,57.5
M,1.79,74.4
M,1.67,55.4
F,1.56,64.4
F,1.67,75.3
F,1.48,64.1
F,1.95,62.0
M,1.66,65.8
M,1.74,65.5
M,1.68,72.5
F,1.84,88.3
M,1.88,84.9
F,1.51,57.9
F,1.71,69.6
F,1.47,58.8
M,1.71,89.0
F,1.83,67.5
M,1.59,74.9
F,1.67,68.2
M,1.84,122.9
M,1.72,76.2
M,1.78,109.8
F,1.71,76.7
M,1.72,69.5
M,1.88,76.9
M,1.59,57.3
F,1.71,66.4
M,1.69,68.3
F,1.68,64.8
M,1.78,64.8
M,1.82,75.3
M,1.74,75.1
M,1.85,92.8
M,1.78,67.8
M,1.73,93.7
F,1.65,55.5
F,1.63,78.3
F,1.76,75.8
F,1.59,60.7
M,1.7,84.8
F,1.7,70.2
F,1.57,72.2
M,1.79,123.1
F,1.55,58.6
M,1.77,70.4
M,1.69,80.0
F,1.46,48.5
F,1.63,73.8
F,1.46,53.9
M,1.81,83.3
M,1.82,112.4
M,1.71,77.6
F,1.54,49.5
M,1.6,57.9
M,1.67,56.3
M,1.77,91.0
F,1.43,52.7
M,1.89,80.6
F,1.5,70.3
M,1.81,92.7
M,1.61,67.9
M,1.82,76.4
M,1.63,62.2
F,1.56,61.1
M,1.77,118.2
M,1.94,109.3
M,1.65,55.1
F,1.88,73.6
M,1.74,68.7
F,1.61,68.3
F,1.71,55.9
M,1.71,74.9
F,1.51,51.7
M,1.74,50.8
F,1.83,126.2
F,1.78,81.2
M,1.85,107.3
M,1.68,72.0
M,1.78,55.2
M,1.68,70.2
F,1.49,54.2
F,1.73,70.6
M,1.81,64.5
F,1.75,60.0
F,1.59,55.5
M,1.94,101.1
F,1.75,59.3
M,1.83,76.5
F,1.67,49.8
M,1.85,129.3
F,1.76,77.8
F,1.69,55.4
M,1.79,67.8
F,1.55,48.8
F,1.51,47.3
F,1.6,94.6
F,1.86,100.8
F,1.51,54.2
F,1.51,42.8
M,1.75,85.4
F,1.72,86.2
M,1.69,83.2
F,1.62,49.1
M,1.79,64.7
F,1.71,84.2
F,1.7,81.7
F,1.61,92.2
M,1.73,87.0
F,1.68,92.9
M,1.83,65.6
M,1.8,95.4
M,1.76,73.1
M,1.93,145.5
M,1.85,86.2
M,1.67,62.9
M,1.87,94.1
M,1.67,63.2
F,1.64,53.1
F,1.55,58.7
M,1.89,93.6
M,1.9,80.4
F,1.63,51.3
M,1.74,102.9
F,1.62,67.4
M,1.5,49.4
M,1.87,72.8
F,1.72,71.6
F,1.64,68.5
F,1.71,61.1
F,1.63,77.1
M,1.64,71.1
F,1.6,94.9
M,1.87,139.8
M,1.6,98.6
M,1.8,76.8
M,1.77,58.5
M,1.99,93.0
M,1.66,78.5
F,1.76,83.3
F,1.7,77.8
M,1.78,64.5
M,1.76,66.7
M,1.59,58.8
F,1.68,61.7
M,1.64,68.1
M,1.88,75.3
M,1.83,112.8
F,1.67,75.0
F,1.73,61.1
M,1.9,71.3
F,1.67,58.5
F,1.57,63.1
F,1.72,84.2
M,1.81,95.0
M,1.73,72.1
F,1.65,66.4
F,1.76,121.9
M,1.86,80.2
M,1.69,91.6
F,1.6,89.4
M,1.53,86.0
F,1.73,73.5
F,1.54,65.8
F,1.59,56.6
F,1.66,54.3
M,1.69,62.7
M,1.72,86.3
M,1.77,78.7
M,1.58,55.2
M,1.66,67.8
M,1.74,71.8
M,1.82,76.1
F,1.27,46.5
F,1.71,50.4
M,1.92,70.1
M,1.8,72.2
F,1.66,52.5
F,1.67,50.2
M,1.73,60.1
F,1.71,78.7
F,1.7,63.4
M,2.01,109.6
F,1.51,50.9
F,1.61,53.8
F,1.54,60.0
F,1.52,48.9
M,1.67,79.8
M,1.88,85.8
F,1.55,54.0
M,1.76,107.9
M,1.87,70.8
M,1.77,61.0
F,1.55,71.7
F,1.64,78.2
F,1.54,77.2
M,1.51,60.0
M,1.82,98.1
F,1.65,55.0
M,1.77,60.9
F,1.62,58.7
F,1.52,47.3
F,1.74,86.8
F,1.77,73.1
M,1.95,74.3
M,1.78,52.2
M,1.64,107.0
F,1.67,69.2
F,1.69,55.9
F,1.81,71.4
M,1.75,73.6
M,1.74,100.9
M,1.67,70.4
M,1.59,62.2
F,1.64,58.9
M,1.9,92.1
M,1.74,70.3
M,1.77,118.0
M,1.56,54.8
M,1.72,102.9
F,1.59,63.8
M,1.55,70.6
F,1.54,61.1
F,1.62,55.1
M,1.86,97.4
F,1.56,70.6
M,1.74,53.1
F,1.66,86.7
M,1.75,85.9
F,1.45,59.1
M,1.78,85.9
M,1.77,124.4
M,1.75,99.9
F,1.5,63.8
F,1.56,72.7
F,1.48,50.9
F,1.88,101.8
M,1.72,60.0
M,1.73,97.8
F,1.53,64.1
M,1.71,69.3
M,1.66,66.2
M,1.65,54.9
F,1.58,59.4
M,1.82,77.5
M,1.72,79.7
M,1.68,78.4
F,1.69,61.1
F,1.57,70.3
M,1.75,65.3
F,1.63,75.2
M,1.95,91.5
F,1.6,53.6
F,1.62,56.6
F,1.58,80.8
F,1.52,45.7
M,1.79,60.8
F,1.61,64.2
F,1.59,56.4
M,1.77,90.1
M,1.85,65.3
M,1.7,111.1
F,1.68,65.0
M,1.68,75.1
M,1.62,61.3
M,1.51,59.3
F,1.53,66.9
F,1.65,72.5
F,1.79,71.2
F,1.6,64.4
F,1.51,56.7
F,1.65,56.0
M,1.72,57.0
F,1.65,104.0
F,1.59,54.6
F,1.53,53.2
M,1.73,87.5
M,1.73,79.9
F,1.59,49.5
F,1.63,71.3
F,1.67,63.8
M,1.84,93.1
F,1.55,90.1
M,1.86,70.9
F,1.6,75.3
M,1.72,64.7
M,1.66,79.0
M,1.71,104.8
F,1.7,112.8
F,1.58,47.7
F,1.65,53.9
F,1.54,54.1
F,1.67,55.2
M,1.69,72.9
F,1.65,78.1
M,1.71,76.7
F,1.58,53.4
M,1.72,73.2
F,1.72,105.1
F,1.51,36.7
F,1.46,54.3
F,1.71,81.1
M,1.75,82.6
M,1.75,74.2
F,1.75,91.1
F,1.57,59.4
M,1.72,52.0
M,1.93,68.9
M,1.78,117.0
F,1.53,56.7
M,1.62,57.3
M,1.89,88.2
M,1.92,65.3
F,1.55,49.4
M,1.61,44.2
M,1.7,65.0
F,1.5,50.1
M,1.91,99.4
M,1.67,52.8
F,1.75,74.9
F,1.77,78.4
M,1.9,104.0
M,1.83,87.5
M,1.68,82.4
F,1.72,66.4
M,1.8,67.5
F,1.72,58.1
M,1.9,78.4
M,1.64,85.5
M,1.67,68.0
M,1.53,80.1
M,1.8,79.0
M,1.71,57.5
F,1.59,91.3
F,1.66,75.0
F,1.45,53.3
M,1.76,64.0
F,1.62,62.1
M,1.71,114.4
M,1.79,91.2
M,1.84,124.4
F,1.59,58.4
M,1.81,111.5
F,1.43,66.8
M,1.82,80.5
F,1.64,60.5
F,1.56,68.1
M,1.69,62.0
M,1.72,86.9
M,1.75,90.4
F,1.7,71.9
M,1.79,90.9
M,1.78,90.3
M,1.86,69.7
M,1.9,72.3
F,1.54,61.3
M,1.8,95.0
M,1.69,89.3
F,1.71,56.6
F,1.71,66.9
F,1.61,64.5
F,1.45,50.9
F,1.71,60.6
M,1.76,79.9
F,1.59,47.8
M,1.74,71.4
M,1.89,99.5
M,1.73,61.8
F,1.66,75.6
M,1.77,66.4
M,1.91,89.7
F,1.66,91.8
F,1.57,50.1
F,1.74,69.8
F,1.66,58.0
F,1.57,83.0
M,1.67,52.0
F,1.59,56.7
M,1.99,158.1
F,1.77,62.5
F,1.66,61.1
F,1.63,63.0
F,1.62,51.8
M,1.51,62.4
M,1.87,80.6
F,1.58,87.6
F,1.51,47.5
F,1.85,82.5
F,1.62,70.2
M,1.68,100.0
F,1.68,65.6
F,1.59,57.0
F,1.61,57.3
M,1.86,96.1
F,1.55,55.4
M,1.66,78.1
F,1.63,59.6
F,1.48,56.7
F,1.64,45.4
M,1.87,69.9
F,1.59,96.3
F,1.73,63.8
M,1.77,65.6
F,1.54,66.3
M,1.89,75.8
M,1.83,77.7
F,1.73,87.2
M,1.68,56.8
M,1.6,50.2
F,1.63,100.7
M,1.74,64.6
F,1.74,61.1
M,1.89,97.7
M,1.76,93.3
M,1.85,81.8
F,1.72,87.2
M,1.8,63.2
F,1.59,66.3
M,1.92,106.1
F,1.73,65.6
M,1.61,61.9
F,1.8,74.7
F,1.72,83.3
F,1.99,94.6
F,1.64,75.5
M,1.81,81.2
F,1.52,73.7
F,1.77,84.0
F,1.72,76.9
M,1.77,73.8
F,1.68,105.5
F,1.67,62.0
F,1.59,50.1
M,1.88,78.9
F,1.83,93.6
F,1.58,47.5
M,1.94,70.1
M,1.84,73.9
F,1.72,81.8
F,1.65,61.8
F,1.68,54.2
F,1.49,50.3
F,1.68,73.3
M,1.91,78.4
F,1.42,53.6
F,1.72,82.4
F,1.63,55.3
M,1.7,96.6
F,1.71,84.7
F,1.69,79.0
F,1.71,82.5
F,1.63,79.4
M,1.69,85.2
M,1.82,91.1
M,1.7,78.0
F,1.72,82.2
M,1.93,99.3
F,1.51,36.7
F,1.65,59.1
F,1.61,48.5
F,1.52,57.4
M,1.59,85.1
F,1.54,81.6
M,1.59,48.7
F,1.6,47.4
M,1.76,84.8
M,1.56,47.7
M,1.87,81.5
F,1.63,74.0
M,1.97,105.8
M,1.79,63.8
F,1.74,89.6
M,1.78,80.0
F,1.65,78.7
M,1.66,66.7
M,1.77,117.8
F,1.72,81.6
M,1.84,98.1
F,1.65,79.2
M,1.78,112.9
F,1.71,70.5
F,1.53,62.9
M,1.65,64.6
M,1.56,61.4
F,1.49,38.6
M,1.7,80.5
M,1.66,109.0
M,1.79,87.0
F,1.51,47.2
F,1.56,49.7
M,1.73,71.4
F,1.48,55.3
F,1.78,123.2
F,1.63,59.7
F,1.65,52.2
M,1.96,110.1
F,1.54,62.2
F,1.54,55.4
M,1.87,82.1
F,1.58,62.8
F,1.54,52.9
M,1.8,66.3
M,1.79,92.8
M,1.88,69.1
M,1.74,56.2
M,1.79,60.2
F,1.7,68.4
M,1.88,95.6
M,1.7,111.4
F,1.71,62.0
M,1.82,68.9
M,1.86,101.9
M,1.69,73.2
M,1.83,112.3
M,1.77,84.9
F,1.61,55.5
M,1.65,64.0
M,1.72,88.3
F,1.66,69.4
M,1.72,75.7
M,1.84,72.2
M,1.92,108.1
M,1.63,70.5
M,1.66,56.2
F,1.68,59.5
M,1.76,65.4
F,1.47,49.1
M,1.98,124.4
M,1.81,72.1
M,1.77,58.7
F,1.59,78.2
M,1.71,59.0
F,1.87,85.1
M,1.82,95.4
F,1.62,57.5
F,1.42,58.5
M,1.8,80.5
M,1.65,59.6
F,1.59,65.2
F,1.75,55.6
F,1.5,48.2
F,1.67,58.8
F,1.44,54.8
M,1.67,73.8
