sex,height,weight
F,1.83,62.9
F,1.63,42.9
M,1.72,70.4
F,1.68,93.0
M,1.65,72.4
F,1.56,57.7
M,1.79,68.7
M,1.71,83.2
F,1.54,39.7
F,1.59,62.9
M,1.78,71.3
F,1.8,71.7
M,1.83,67.5
M,1.63,78.7
F,1.43,49.2
M,1.66,65.6
F,1.53,54.3
F,1.62,63.7
M,1.92,84.5
F,1.75,121.3
F,1.83,96.9
M,1.8,77.1
M,1.59,50.9
F,1.62,57.6
F,1.72,72.1
F,1.63,54.5
F,1.47,84.9
M,1.8,104.3
M,1.94,94.3
M,1.9,95.3
F,1.65,69.7
F,1.68,73.0
M,1.75,74.6
F,1.68,72.6
F,1.62,60.7
F,1.73,64.3
F,1.51,52.0
M,1.74,56.3
F,1.56,66.4
F,1.63,54.2
M,1.68,51.0
F,1.56,46.9
F,1.7,78.5
F,1.48,46.2
M,1.77,74.1
M,1.98,142.8
F,1.58,64.8
F,1.65,74.1
F,1.69,57.0
M,1.76,74.4
M,1.66,80.3
F,1.77,90.3
F,1.54,63.7
F,1.65,64.9
M,1.67,68.2
F,1.52,39.1
F,1.57,50.6
F,1.54,48.7
F,1.5,47.1
M,1.69,73.1
F,1.56,65.1
F,1.77,83.0
F,1.69,72.0
M,1.7,68.0
F,1.5,39.5
M,1.68,101.2
F,1.75,92.2
F,1.58,61.3
F,1.54,53.3
M,1.78,59.4
F,1.6,49.3
F,1.6,87.5
F,1.64,66.3
M,1.75,77.0
F,1.62,68.5
F,1.68,82.1
M,1.87,77.9
M,1.79,59.7
M,1.78,90.5
F,1.66,57.3
M,1.75,74.9
M,1.63,78.7
F,1.62,49.9
F,1.36,48.1
M,1.82,90.4
F,1.6,72.7
F,1.51,60.5
F,1.77,58.8
M,1.7,83.6
F,1.54,49.8
M,1.8,117.5
F,1.68,69.0
M,1.67,65.3
F,1.56,49.6
M,1.84,74.7
F,1.6,61.3
M,1.75,67.3
F,1.46,61.5
F,1.64,76.3
M,1.89,83.1
M,1.83,81.8
M,1.75,79.8
F,1.61,53.1
F,1.7,70.3
M,1.72,58.0
M,1.84,68.2
F,1.63,55.6
M,1.7,57.4
F,1.63,49.4
F,1.79,65.8
F,1.51,43.2
F,1.58,65.7
M,1.81,67.1
M,1.86,83.7
F,1.77,51.1
M,1.74,59.6
F,1.57,71.7
M,1.7,57.8
F,1.49,53.7
F,1.77,63.2
F,1.47,52.8
M,1.68,63.7
M,1.58,72.4
M,1.56,56.6
M,1.62,49.0
F,1.79,77.6
M,1.94,99.7
F,1.76,84.8
F,1.56,54.2
M,1.64,51.7
F,1.66,58.2
F,1.65,58.5
M,1.75,85.1
F,1.71,113.2
F,1.8,84.5
M,1.95,112.2
F,1.57,96.6
F,1.66,75.8
F,1.75,65.5
M,1.86,67.1
F,1.54,50.0
F,1.56,70.3
F,1.68,59.1
M,1.73,70.7
F,1.6,52.9
M,1.86,90.2
F,1.69,78.5
F,1.51,40.1
F,1.64,52.4
F,1.65,59.8
F,1.73,65.3
F,1.69,74.7
M,2.01,115.3
M,1.76,79.4
M,1.76,76.8
M,1.68,66.5
F,1.52,58.4
F,1.64,54.8
M,1.83,85.5
F,1.6,64.8
M,1.94,70.9
F,1.59,53.1
M,1.83,85.3
M,1.93,100.3
F,1.78,78.0
F,1.5,51.4
F,1.56,65.2
F,1.53,52.8
F,1.79,93.8
F,1.56,54.5
F,1.48,60.1
M,1.63,62.2
F,1.53,69.1
F,1.35,43.6
M,1.89,70.6
M,1.78,77.0
M,1.77,100.2
F,1.66,66.4
M,1.79,68.5
M,1.82,68.9
M,1.79,66.9
M,1.76,80.0
M,1.61,57.5
M,1.67,78.6
M,1.76,113.5
F,1.35,38.5
M,1.75,69.3
M,1.75,83.3
F,1.46,53.5
M,1.8,75.0
F,1.76,108.1
F,1.52,52.8
F,1.61,65.6
F,1.55,61.1
F,1.64,57.5
F,1.54,50.6
F,1.59,60.0
F,1.48,57.4
M,1.55,68.5
M,1.59,59.4
F,1.63,55.6
F,1.49,63.3
F,1.6,61.7
F,1.61,67.0
M,1.74,70.7
M,1.68,57.8
M,1.75,76.8
M,1.75,58.7
M,1.79,75.6
F,1.6,98.5
M,1.63,69.0
F,1.53,50.9
