",""DAY"",""TRAFFICO"",""TRAFFICO2"",""CORRELAZIONE + SHIFT"""
",""lunedi"",""100"",""100"",""-0.091130874822269"""
",""martedi"",""90"",""90"",""-0.55945848304725"""
",""mercoledi"",""80"",""80"",""0.007842875930569"""
",""giovedi"",""80"",""80"",""-0.023386802341671"""
",""venerdi"",""90"",""90"",""-0.53425602798965"""
",""sabato"",""60"",""60"",""0"""
",""domenica"",""40"",""40"",""0.99776398369464"""
",""lunedi"",""105"",""105"",""0.059307187189828"""
",""martedi"",""95"",""95"",""-0.43964072062058"""
",""mercoledi"",""80"",""80"",""0.13896689444903"""
",""giovedi"",""85"",""85"",""0.081598674848281"""
",""venerdi"",""95"",""95"",""-0.50841116218828"""
",""sabato"",""60"",""60"",""-0.139555205674"""
",""domenica"",""35"",""35"",""0.9903271912176"""
",""lunedi"",""100"",""100"",""-0.093681331770312"""
",""martedi"",""90"",""90"",""-0.55657732404715"""
",""mercoledi"",""75"",""75"",""0.04690409267912"""
",""giovedi"",""80"",""80"",""-0.024665033482745"""
",""venerdi"",""90"",""90"",""-0.46589507689629"""
",""sabato"",""65"",""65"",""0.092442717172426"""
",""domenica"",""40"",""40"",""0.99460055657803"""
",""lunedi"",""105"",""105"","""""
",""martedi"",""90"",""90"","""""
",""mercoledi"",""80"",""80"","""""
",""giovedi"",""85"",""85"","""""
",""venerdi"",""90"",""90"","""""
",""sabato"",""55"",""55"","""""
",""domenica"",""35"",""35"","""""
